Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
429.mcf-434.zeusmp-445.gobmk-453.povray,CoRoRaBaCh,72,1.0037772117309804,164709.082428,51695978.0,13512122.0,52.58,0.23,41.73,21104780.0,13507775.0,0.01,0.24,0.1,2.2907317033674657,0.0017752324449822972,0.003328554500317136,0.0016673056009991437,65208100.0,34612555.0,1.883943557475026,1.0007286989898214,1.0007900052120295,1.146253467906224,0.0024979300506581398,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,CoRoRaBaCh,72,1.0150754258377226,163382.291684,55238634.0,35096682.0,0.01,0.28,0.11,55144224.0,35027608.0,0.01,0.28,0.11,0.002179146499615944,0.0020107302537571356,0.0013105475313342106,0.0016166859912168572,90335316.0,90171832.0,1.0018130273764427,1.0043489692406842,1.0045340636546567,0.0020949383766865398,0.001463616761275534,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,CoRoRaBaCh,72,1.0002126240525204,163379.479257,39985838.0,13823139.0,47.64,0.38,35.5,17274351.0,13892477.0,0.0,0.41,0.18,2.064336720757715,0.07486187165826692,0.18337896899525377,0.0904940237949756,53808977.0,31166828.0,1.7264823035568457,1.0003389222537302,1.0027455351431296,1.0695992962079908,0.13693649639511468,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,CoRoRaBaCh,72,1.0149565545750474,167327.904339,66420132.0,29085451.0,0.01,0.25,0.08,66367872.0,29031023.0,0.01,0.25,0.08,0.0037139536667399877,0.002571364171960854,0.0034309048344869086,0.0019963404398581587,95505583.0,95398895.0,1.0011183358046234,1.0007913372199742,1.00018384151896,0.003142658919350421,0.0027136226371725337,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,CoRoRaBaCh,72,1.0163927792850413,164200.391393,52647887.0,23899016.0,0.01,0.22,0.07,51121516.0,24563564.0,0.01,0.22,0.07,0.23073981946588507,0.21256295502504105,0.2508045671210666,0.2649175784347593,76546903.0,75685080.0,1.0113869602833214,1.0004449913020743,1.000976995133896,0.22165138724546307,0.2578610727779129,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,Skylake,999,0.997433320344255,154591.436054,54960177.0,34933227.0,43.11,59.78,49.59,54933435.0,34909278.0,43.11,59.78,49.59,0.021055807029420354,0.022727303470095307,0.020267955793470405,0.02276625353856223,89893404.0,89842713.0,1.0005642193819324,1.000802617971004,1.0007515599931918,0.021891555249757833,0.021517104666016317,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,Skylake,999,0.9992454524615533,152903.900346,52076778.0,13741568.0,76.82,57.85,72.86,21506889.0,13729336.0,56.5,58.2,57.16,3.2635845072462093,0.06821903938384828,0.04895489146967245,0.0675631546226167,65818346.0,35236225.0,1.8679170654631703,1.0882723015648292,1.0009998332000871,1.6659017733150288,0.05825902304614457,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,Skylake,999,0.9991109364014991,153343.873205,52043634.0,24287035.0,46.19,45.09,45.84,51960227.0,24291837.0,46.22,45.08,45.86,0.058973152276159284,0.05086264085507765,0.05885671341185638,0.05066272256233948,76330669.0,76252064.0,1.0010308573417763,1.000787914695636,1.000419691346862,0.05491789656561846,0.05475971798709793,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,Skylake,999,1.0001029670126997,148299.224989,39608536.0,14046072.0,82.14,62.03,76.87,18298321.0,14038905.0,71.79,62.3,67.67,3.0002412366800377,0.08468853083609429,0.06570493613029026,0.08388636207575204,53654608.0,32337226.0,1.6592211094421023,1.04471784676401,1.002109618042643,1.5424648837580661,0.07479564910302114,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,Skylake,999,1.0011504670316838,156972.57062,66966925.0,29269596.0,36.2,47.03,39.49,67031829.0,29293335.0,36.14,47.01,39.45,0.04947687958317934,0.04621946780835487,0.04940861474832508,0.04589285517066989,96236521.0,96325164.0,1.000921095225377,1.0004410144731883,1.0003323524925172,0.047848173695767104,0.04765073495949748,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,Skylake,999,1.0009327653658835,160790.032003,109743296.0,17687372.0,62.14,49.96,60.45,47684486.0,17694408.0,23.98,50.16,31.07,3.149570323888859,0.02632941026841019,0.04284997770132878,0.02681897503208933,127430668.0,65378894.0,1.949110182255454,1.0339640062451938,1.0006744886995842,1.5879498670786347,0.034834476366709055,2,1,0
